seed,target_class,method,prune_ratio,kept_nodes,removed_nodes,test_accuracy,test_loss,params,param_reduction,macs_per_sample,mac_reduction,class0_accuracy,class1_accuracy,class2_accuracy,class3_accuracy,class4_accuracy,class5_accuracy,class6_accuracy,class7_accuracy,class8_accuracy,class9_accuracy
0,-1,activation,0.1,115,13,0.9796,0.08070360717773438,231675,0.01476104207598683,231294,0.014730438931297662,0.9897959232330322,0.9911894202232361,0.981589138507843,0.9821782112121582,0.9725050926208496,0.9730941653251648,0.980167031288147,0.9795719981193542,0.9733059406280518,0.9702675938606262
0,-1,activation,0.2,102,26,0.9755,0.0947968505859375,228204,0.02952208415197366,227836,0.029460877862595436,0.9857142567634583,0.9788545966148376,0.9835271239280701,0.9831683039665222,0.9409368634223938,0.9753363132476807,0.9749478101730347,0.9747081995010376,0.9722792506217957,0.9841427206993103
0,-1,activation,0.3,90,38,0.9412,0.2132540283203125,225000,0.04314766145288462,224644,0.04305820610687028,0.9857142567634583,0.857268750667572,0.9593023061752319,0.9732673168182373,0.909368634223938,0.823991060256958,0.962421715259552,0.9747081995010376,0.9907597303390503,0.9742318987846375
0,-1,activation,0.4,77,51,0.8278,0.52404912109375,221529,0.05790870352887145,221186,0.05778864503816794,0.9520407915115356,0.2264317125082016,0.8963178396224976,0.9742574095726013,0.7270875573158264,0.726457417011261,0.9185803532600403,0.9727626442909241,0.9958932399749756,0.9583746194839478
0,-1,activation,0.5,64,64,0.7619,0.703980322265625,218058,0.07266974560485828,217728,0.0725190839694656,0.9163265228271484,0.17004404962062836,0.876937985420227,0.9772277474403381,0.7107942700386047,0.536995530128479,0.5344467759132385,0.9824903011322021,0.9928131699562073,0.9613478779792786
0,-1,weight_x_activation,0.1,115,13,0.9796,0.08070360717773438,231675,0.01476104207598683,231294,0.014730438931297662,0.9897959232330322,0.9911894202232361,0.981589138507843,0.9821782112121582,0.9725050926208496,0.9730941653251648,0.980167031288147,0.9795719981193542,0.9733059406280518,0.9702675938606262
0,-1,weight_x_activation,0.2,102,26,0.9793,0.0828224365234375,228204,0.02952208415197366,227836,0.029460877862595436,0.9877551198005676,0.9894273281097412,0.981589138507843,0.9792079329490662,0.9602851271629333,0.9674887657165527,0.9874739050865173,0.9863813519477844,0.9794661402702332,0.9712586998939514
0,-1,weight_x_activation,0.3,90,38,0.9703,0.109272119140625,225000,0.04314766145288462,224644,0.04305820610687028,0.9897959232330322,0.9867841601371765,0.9738371968269348,0.9851484894752502,0.9287168979644775,0.9237667918205261,0.9812108278274536,0.9737353920936584,0.9856262803077698,0.9672943353652954
0,-1,weight_x_activation,0.4,77,51,0.9339,0.235551806640625,221529,0.05790870352887145,221186,0.05778864503816794,0.9887754917144775,0.9550660848617554,0.9525193572044373,0.9920791983604431,0.7912423610687256,0.8329596519470215,0.893528163433075,0.975680947303772,0.9856262803077698,0.9534192085266113
0,-1,weight_x_activation,0.5,64,64,0.83,0.606509912109375,218058,0.07266974560485828,217728,0.0725190839694656,0.968367338180542,0.9488986730575562,0.9050387740135193,0.986138641834259,0.29226070642471313,0.7230941653251648,0.6221294403076172,0.9552529454231262,0.9928131699562073,0.8592665791511536
0,-1,grad_x_activation,0.1,115,13,0.9796,0.08070360717773438,231675,0.01476104207598683,231294,0.014730438931297662,0.9897959232330322,0.9911894202232361,0.981589138507843,0.9821782112121582,0.9725050926208496,0.9730941653251648,0.980167031288147,0.9795719981193542,0.9733059406280518,0.9702675938606262
0,-1,grad_x_activation,0.2,102,26,0.9769,0.08785032348632812,228204,0.02952208415197366,227836,0.029460877862595436,0.9908163547515869,0.9806167483329773,0.9835271239280701,0.9801980257034302,0.9460285305976868,0.9697309136390686,0.9843423962593079,0.9844357967376709,0.977412760257721,0.9702675938606262
0,-1,grad_x_activation,0.3,90,38,0.9635,0.13515831298828124,225000,0.04314766145288462,224644,0.04305820610687028,0.9867346882820129,0.976211428642273,0.9748061895370483,0.9742574095726013,0.844195544719696,0.9562780261039734,0.9791231751441956,0.9824903011322021,0.987679660320282,0.969276487827301
0,-1,grad_x_activation,0.4,77,51,0.9213,0.2848123291015625,221529,0.05790870352887145,221186,0.05778864503816794,0.9846938848495483,0.9691630005836487,0.979651153087616,0.9891089200973511,0.5916497111320496,0.9192824959754944,0.8862212896347046,0.9805447459220886,0.9856262803077698,0.9117938280105591
0,-1,grad_x_activation,0.5,64,64,0.8342,0.65102529296875,218058,0.07266974560485828,217728,0.0725190839694656,0.981632649898529,0.8378854393959045,0.9622092843055725,0.9900990128517151,0.08553971350193024,0.9114349484443665,0.8152400851249695,0.9143968820571899,0.9907597303390503,0.8453914523124695
0,-1,ablation,0.1,115,13,0.96,0.1480046142578125,231675,0.01476104207598683,231294,0.014730438931297662,0.9897959232330322,0.9718061685562134,0.9835271239280701,0.9851484894752502,0.9460285305976868,0.9125560522079468,0.8653444647789001,0.9795719981193542,0.987679660320282,0.9672943353652954
0,-1,ablation,0.2,102,26,0.8627,0.5269833984375,228204,0.02952208415197366,227836,0.029460877862595436,0.9846938848495483,0.9383260011672974,0.9709302186965942,0.9722772240638733,0.9256619215011597,0.615470826625824,0.25782880187034607,0.9630350470542908,0.9979466199874878,0.9375619292259216
0,-1,ablation,0.3,90,38,0.8627,0.5269833984375,225000,0.04314766145288462,224644,0.04305820610687028,0.9846938848495483,0.9383260011672974,0.9709302186965942,0.9722772240638733,0.9256619215011597,0.615470826625824,0.25782880187034607,0.9630350470542908,0.9979466199874878,0.9375619292259216
0,-1,ablation,0.4,77,51,0.8138,0.8069638671875,221529,0.05790870352887145,221186,0.05778864503816794,0.9775510430335999,0.9392070770263672,0.9709302186965942,0.9782178401947021,0.885947048664093,0.36883407831192017,0.041753653436899185,0.9474708437919617,0.9979466199874878,0.9306243658065796
0,-1,ablation,0.5,64,64,0.7802,1.125297265625,218058,0.07266974560485828,217728,0.0725190839694656,0.9530612230300903,0.8960352540016174,0.944767415523529,0.9178217649459839,0.9185336232185364,0.23878923058509827,0.002087682718411088,0.9406614899635315,0.9989733099937439,0.8840436339378357
